Company,Date,Close/Last,Volume,Open,High,Low,Anomaly
NFLX,2022-01-20,508.25,12658990,517.75,526.64,506.93,-1
NFLX,2022-01-19,515.86,4353508,515.0,523.21,510.51,-1
NFLX,2022-01-18,510.8,4844418,520.08,521.75,508.68,-1
NFLX,2022-01-14,525.69,7861109,517.6,538.37,511.88,-1
NFLX,2022-01-13,519.2,4475063,537.06,540.79,518.26,-1
NFLX,2021-12-31,602.44,1995918,610.01,614.075,602.05,-1
NFLX,2021-12-30,612.09,1625093,612.99,620.61,611.2401,-1
NFLX,2021-12-29,610.54,1287513,610.71,613.98,604.68,-1
NFLX,2021-12-28,610.71,1884116,614.95,618.41,609.69,-1
NFLX,2021-12-27,613.12,2062233,615.0,615.0,609.25,-1
NFLX,2021-12-23,614.09,1621146,616.4,616.88,607.57,-1
NFLX,2021-12-22,614.24,2335745,603.36,614.82,602.63,-1
NFLX,2021-12-21,604.92,2319390,597.5434,607.82,593.8611,-1
NFLX,2021-12-20,593.74,3358404,586.43,602.8847,584.26,-1
NFLX,2021-12-17,586.73,4433706,591.61,593.25,581.74,-1
NFLX,2021-12-16,591.06,3143217,597.09,602.8308,588.0,-1
NFLX,2021-12-15,605.04,2866196,598.18,605.69,584.51,-1
NFLX,2021-12-14,597.99,2984536,598.71,602.29,588.13,-1
NFLX,2021-12-13,604.56,2517915,612.0,612.64,599.52,-1
NFLX,2021-11-30,641.9,5608919,668.198,675.38,640.01,-1
NFLX,2021-11-29,663.84,2529364,663.2,667.99,658.29,-1
NFLX,2021-11-26,665.64,2872513,675.0,676.405,660.67,-1
NFLX,2021-11-24,658.29,1867282,658.01,661.44,651.1,-1
NFLX,2021-11-23,654.06,2320917,658.18,666.43,646.05,-1
NFLX,2021-11-22,659.2,2765318,676.02,679.48,656.47,-1
NFLX,2021-11-19,678.8,2614852,692.35,694.16,675.0,-1
NFLX,2021-11-18,682.02,2014992,691.61,691.74,679.735,-1
NFLX,2021-11-17,691.69,2732831,690.0,700.9894,686.09,-1
NFLX,2021-11-16,687.4,2077387,678.27,688.3599,676.9,-1
NFLX,2021-11-15,679.33,2872186,681.235,685.2599,671.49,-1
NFLX,2021-10-29,690.31,3825279,673.06,690.9699,671.24,-1
NFLX,2021-10-28,674.05,2859409,670.949,676.8,668.03,-1
NFLX,2021-10-27,662.92,2276914,669.0,671.41,661.85,-1
NFLX,2021-10-26,668.52,2904840,673.76,676.4899,662.77,-1
NFLX,2021-10-25,671.66,3833526,663.74,675.88,657.07,-1
NFLX,2021-10-22,664.78,6186016,651.81,665.46,651.81,-1
